group_name	nce	contrast_angle
Unmodified	34.999999	0.083237
Unmodified	34.999999	0.388630
Unmodified	34.135407	0.754931
mixed	34.999999	0.299590
Unmodified	34.999999	0.740219
Unmodified	34.999999	0.839688
Oxidation	31.260344	0.766843
Unmodified	31.679577	0.559112
GlyGly (Ub)	31.903130	0.903408
Unmodified	32.203460	0.826836
TMT6plex	32.466337	0.617481
Unmodified	32.742506	0.967925
mixed	33.897868	0.677604
TMT6plex	40.118930	0.821976
mixed	34.999999	0.396300
Unmodified	32.471094	0.831214
Unmodified	31.531250	0.599221
TMT6plex	32.671216	0.485208
Acetyl	31.261715	0.847887
Unmodified	32.853928	0.901930
TMT6plex	31.197974	0.902358
Pyro-Glu	32.513425	0.852323
Unmodified	32.180163	0.925224
Phospho	31.972864	0.700689
Unmodified	32.285914	0.614871
TMT6plex	32.939300	0.753515
Unmodified	31.743133	0.820933
Methyl	34.999999	0.829058
Unmodified	34.999999	0.619474
TMT6plex	33.482307	0.943649
Unmodified	32.876664	0.653128
Unmodified	33.822921	0.877262
Unmodified	32.384002	0.937466
Unmodified	32.252648	0.828533
TMT6plex	34.999999	0.587801
mixed	32.296708	0.520740
Unmodified	34.999999	0.277579
Unmodified	32.069322	0.947195
HexNAc	34.999999	0.043911
Unmodified	32.542738	0.591025
mixed	32.276890	0.858590
TMT6plex	32.569191	0.816194
TMT6plex	32.296708	0.751249
TMT6plex	33.834353	0.817609
Unmodified	34.999999	0.513084
Phospho	34.999999	0.456689
Phospho	34.999999	0.886682
Unmodified	33.134302	0.840302
TMT6plex	33.482307	0.916735
Deamidation	34.999999	0.898463
Oxidation	34.999999	0.882120
Unmodified	31.366438	0.874555
TMT6plex	32.413846	0.861627
Unmodified	32.148844	0.754039
TMT6plex	32.449606	0.852424
Phospho	31.780523	0.820370
Oxidation	32.434586	0.866831
TMT6plex	34.999999	0.686996
Unmodified	32.876664	0.829825
Unmodified	34.999999	0.666427
GlyGly (Ub)	32.522178	0.829224
Unmodified	33.383578	0.711858
mixed	32.902342	0.852994
TMT6plex	33.300209	0.520453
Unmodified	32.751456	0.923971
TMT6plex	32.011038	0.874823
TMT6plex	33.292925	0.943688
Unmodified	31.952336	0.835028
TMT6plex	31.131035	0.715108
Unmodified	32.484835	0.950459
TMT6plex	32.751438	0.903713
TMT6plex	31.977236	0.907225
TMT6plex	34.999999	0.715757
Unmodified	32.703242	0.890123
Unmodified	34.999999	0.659422
Oxidation	34.999999	0.628183
Unmodified	31.666517	0.886142
HexNAc	34.999999	0.645195
Unmodified	33.353102	0.822800
mixed	34.999999	0.842503
Oxidation	34.999999	0.873720
TMT6plex	32.487562	0.806811
mixed	34.206864	0.958870
Acetyl	33.152649	0.844694
TMT6plex	32.751098	0.774692
TMT6plex	34.999999	0.598111
mixed	32.701525	0.842929
Unmodified	34.999999	0.758765
Unmodified	31.760767	0.969085
Phospho	31.147832	0.915070
Oxidation	31.948853	0.873386
mixed	32.761922	0.710312
Acetyl	34.999999	0.823506
Unmodified	31.886986	0.870274
Unmodified	34.414911	0.711015
Oxidation	33.167744	0.745187
Unmodified	32.736614	0.947349
mixed	31.491634	0.566182
Unmodified	33.353102	0.738030
mixed	34.999999	0.646777
TMT6plex	32.989246	0.584570
GlyGly (Ub)	32.760215	0.910870
GlyGly (Ub)	32.226640	0.878542
TMT6plex	32.589927	0.877538
TMT6plex	32.832357	0.925962
TMT6plex	31.149581	0.914016
Unmodified	31.641611	0.961266
GlyGly (Ub)	32.388654	0.897349
Unmodified	31.938851	0.865645
Unmodified	34.999999	0.824791
TMT6plex	33.366862	0.911914
GlyGly (Ub)	31.784788	0.894443
Acetyl	31.270459	0.805517
mixed	33.172134	0.945449
Oxidation	21.447751	0.821184
Unmodified	32.673031	0.929836
Unmodified	32.230073	0.855831
Unmodified	32.828015	0.871742
Unmodified	34.965432	0.464505
Unmodified	32.566270	0.939229
TMT6plex	32.396716	0.882829
TMT6plex	34.999999	0.643472
Unmodified	34.999999	0.609970
TMT6plex	34.999999	0.796762
Unmodified	31.834912	0.827674
Acetyl	31.276339	0.801590
Unmodified	34.999999	0.863832
Unmodified	32.401568	0.942572
TMT6plex	34.999999	0.692892
Unmodified	34.999999	0.877357
Unmodified	34.999999	0.909417
Unmodified	34.999999	0.824612
Unmodified	34.999999	0.905461
Oxidation	34.999999	0.787600
TMT6plex	31.885090	0.577618
Unmodified	34.999999	0.629907
GlyGly (Ub)	32.391590	0.863424
TMT6plex	26.711363	0.921253
Unmodified	31.622139	0.897839
HexNAc	35.467210	0.653546
Oxidation	31.730083	0.888162
Unmodified	34.965432	0.355756
TMT6plex	33.943063	0.921293
mixed	34.999999	0.797232
Unmodified	31.969953	0.827387
mixed	34.999999	0.739315
Phospho	34.999999	0.556065
Unmodified	31.673133	0.909600
Unmodified	34.010130	0.538128
TMT6plex	32.770383	0.932868
TMT6plex	34.999999	0.780725
mixed	33.409256	0.905711
TMT6plex	31.254753	0.818786
TMT6plex	32.943955	0.835740
mixed	32.902342	0.177713
Unmodified	32.372907	0.778301
mixed	33.840206	0.774276
mixed	34.999999	0.711240
Unmodified	31.543398	0.738002
TMT6plex	34.999999	0.449132
TMT6plex	32.668474	0.541266
Phospho	31.627107	0.870602
GlyGly (Ub)	32.280242	0.868293
Unmodified	31.859243	0.897089
Oxidation	32.777852	0.741068
Unmodified	33.049792	0.865483
mixed	32.701525	0.759928
Pyro-Glu	33.896616	0.898826
